"Method","Bias","MAD","MSE","MAPE","RSFE","Tracking_Signal","Next_Period_Fcst"
"Naive Forecasting",2640.8299,63719.3576,7231184406.4316,14.7178,404046.9795,6.341,703821
"Moving Average (k=12)",19080.7251,99429.5315,15169607920.3788,36.4344,2919350.9433,29.361,781540
"Weighted Moving Average (k=12)",13653.3563,85485.6899,11541638805.4325,28.1387,2088963.5177,24.4364,738247
"Exponential Smoothing",3702.3044,61532.3062,6675747077.7788,15.0576,566452.566,9.2058,705682
"Trend-Adjusted ES (Holt)",2935.431,61615.2987,6667456588.0286,15.1006,449120.9365,7.2891,705753
"Linear Trend Projection",-5179.5831,152992.9632,38374999253.626,80.8334,-792476.2079,-5.1798,577977
"Seasonal Indices",-6223.5238,149386.5242,37103683920.007,80.3626,-952199.1353,-6.3741,551648
"Additive Decomposition",2301.3463,51493.1119,4255556722.8441,15.7776,352105.9782,6.8379,536173
"Multiplicative Decomposition",2213.8239,50106.3038,4161359402.5207,14.671,338715.0611,6.7599,522533
"Regression (Trend+Seas.Dummies)",-5904.1819,148967.7782,37044169766.4485,80.1001,-903339.8336,-6.064,564370
